UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,UGDS_delta,UGDS_WOMEN_delta,UGDS_MEN_delta,ADM_RATE_delta,SAT_AVG_delta,ACTCMMID_delta,RET_FT4_delta,C150_4_delta,TUITIONFEE_IN_delta,TUITIONFEE_OUT_delta,UGDS_WHITE_delta,UGDS_BLACK_delta,UGDS_HISP_delta,UGDS_ASIAN_delta,won_One_year_ago,lost_One_year_ago,tied_One_year_ago,games_One_year_ago,won_Two_years_ago,lost_Two_years_ago,tied_Two_years_ago,games_Two_years_ago,won_Three_years_ago,lost_Three_years_ago,tied_Three_years_ago,games_Three_years_ago,won_Four_years_ago,lost_Four_years_ago,tied_Four_years_ago,games_Four_years_ago,won_Five_years_ago,lost_Five_years_ago,tied_Five_years_ago,games_Five_years_ago,won_Six_years_ago,lost_Six_years_ago,tied_Six_years_ago,games_Six_years_ago,won_Seven_years_ago,lost_Seven_years_ago,tied_Seven_years_ago,games_Seven_years_ago,won_Eight_years_ago,lost_Eight_years_ago,tied_Eight_years_ago,games_Eight_years_ago,won_Nine_years_ago,lost_Nine_years_ago,tied_Nine_years_ago,games_Nine_years_ago,won_Ten_years_ago,lost_Ten_years_ago,tied_Ten_years_ago,games_Ten_years_ago,won_Eleven_year_ago,lost_Eleven_year_ago,tied_Eleven_year_ago,games_Eleven_year_ago,won_Twelve_years_ago,lost_Twelve_years_ago,tied_Twelve_years_ago,games_Twelve_years_ago,won_Thirteen_years_ago,lost_Thirteen_years_ago,tied_Thirteen_years_ago,games_Thirteen_years_ago,won_Fourteen_years_ago,lost_Fourteen_years_ago,tied_Fourteen_years_ago,games_Fourteen_years_ago,won_Fifteen_years_ago,lost_Fifteen_years_ago,tied_Fifteen_years_ago,games_Fifteen_years_ago,won_Sixteen_years_ago,lost_Sixteen_years_ago,tied_Sixteen_years_ago,games_Sixteen_years_ago,won_Seventeen_years_ago,lost_Seventeen_years_ago,tied_Seventeen_years_ago,games_Seventeen_years_ago,won_Eighteen_years_ago,lost_Eighteen_years_ago,tied_Eighteen_years_ago,games_Eighteen_years_ago,won_Nineteen_years_ago,lost_Nineteen_years_ago,tied_Nineteen_years_ago,games_Nineteen_years_ago,won_Twenty_years_ago,lost_Twenty_years_ago,tied_Twenty_years_ago,games_Twenty_years_ago
199120,00297400,University of North Carolina at Chapel Hill,Chapel Hill,2011,17791.0,1,1,4,5,13,13,0.2032,11047.0,0.8472,1150.0,9470.0,9470.0,3686.0,3686.0,1,0.5837,0.4163,0.3388,1304.0,29.0,0.9691,0.8898,7009.0,26834.0,0.6606,0.0896,0.0927,0.0739,2,-0.008471270133199593,-0.0110132158590307,0.015861395802830636,0.07113499841922222,0.0,0.0,0.004873496474491867,0.00987402110997615,0.05161290322580636,0.06147151898734182,-0.001209555488358105,-0.0011148272017837968,-0.14325323475046214,0.2589437819420781,0,5,0,5,0,5,0,5,4,8,0,12,3,9,0,12,5,6,0,11,6,6,0,12,2,10,0,12,3,9,0,12,8,5,0,13,6,5,0,11,3,8,0,11,7,5,0,12,11,1,0,12,10,2,0,12,7,5,0,12,8,4,0,12,10,3,0,13,9,3,0,12,7,4,0,11,6,4,1,11
199193,00297200,North Carolina State University at Raleigh,Raleigh,2011,23514.0,1,1,4,5,11,13,0.2336,9390.0,0.8366,1000.0,8536.0,8536.0,2834.0,2834.0,1,0.4336,0.5664,0.5421,1181.0,26.0,0.894,0.7156,7018.0,19853.0,0.7608,0.08,0.0364,0.0509,2,0.0005957446808511069,0.0016170016170016233,-0.001234350202786172,-0.010946907498631697,0.003398470688190214,0.0,0.012686905301313889,-0.0013954786491766624,0.0748966151018533,0.04138690725975658,-0.007177345687067627,-0.03264812575574361,0.10975609756097549,-0.02115384615384608,5,7,0,12,6,7,0,13,5,7,0,12,3,9,0,12,7,5,0,12,5,6,0,11,8,5,0,13,11,3,0,14,7,5,0,12,8,4,0,12,6,6,0,12,7,5,0,12,6,5,0,11,3,8,0,11,3,8,0,11,9,3,0,12,7,5,0,12,9,3,1,13,9,3,0,12,7,5,0,12
201441,00301800,Bowling Green State University-Main Campus,Bowling Green,2011,14802.0,1,2,4,3,13,13,0.3764,6549.0,0.7608,1140.0,7794.0,6390.0,3244.0,3822.0,1,0.5478,0.4522,0.7554,1009.0,22.0,0.7204,0.5808,10164.0,17472.0,0.7764,0.1131,0.0358,0.0098,2,0.01928109075884854,0.021252796420581532,-0.024590163934426257,-0.056928838951310956,-0.0194363459669582,0.0,-0.06063372017212154,-0.03841059602649011,0.04740313272877161,0.027039736656477853,-0.014220416455053342,0.04916512059369205,0.06547619047619047,0.12643678160919536,7,6,0,13,6,6,0,12,8,5,0,13,4,8,0,12,6,5,0,11,9,3,0,12,11,3,0,14,9,3,0,12,8,3,0,11,2,9,0,11,5,6,0,11,5,6,0,11,3,8,0,11,4,7,0,11,5,6,0,11,9,2,0,11,6,3,2,11,10,2,0,12,11,1,0,12,3,5,2,10
201885,00312500,University of Cincinnati-Main Campus,Cincinnati,2011,22543.0,1,3,4,3,11,13,0.2723,8599.0,0.4907,1539.0,9780.0,9780.0,5090.0,5090.0,1,0.5073,0.4927,0.6475,1135.0,25.0,0.8467,0.4963,10419.0,24942.0,0.7845,0.0825,0.0229,0.029,2,0.024355886763302692,-0.006268364348677724,0.006537282941777356,-0.018642012731130753,0.00620567375886516,0.0,0.0024863840871418574,0.014098896608091493,0.03517138599105807,0.014397266959492505,0.0017877665687651145,-0.11099137931034475,0.1170731707317072,0.03571428571428581,12,1,0,13,11,3,0,14,10,3,0,13,8,5,0,13,4,7,0,11,7,5,0,12,5,7,0,12,7,7,0,14,7,5,0,12,7,5,0,12,3,8,0,11,2,9,0,11,8,4,0,12,6,5,0,11,6,5,0,11,2,8,1,11,8,3,0,11,3,8,0,11,4,7,0,11,1,10,0,11
204796,00309000,Ohio State University-Main Campus,Columbus,2011,41709.0,1,6,4,3,11,13,0.2817,10897.0,0.6738,1602.0,10782.0,10782.0,4752.0,4752.0,1,0.4717,0.5283,0.6329,1260.0,28.0,0.9283,0.7991,9735.0,24630.0,0.7606,0.0624,0.0309,0.052,2,,,,,,,,,,,,,,,11,2,0,13,10,3,0,13,11,2,0,13,12,1,0,13,10,2,0,12,8,4,0,12,11,2,0,13,14,0,0,14,7,5,0,12,8,4,0,12,6,6,0,12,11,1,0,12,10,3,0,13,11,1,0,12,11,2,0,13,9,4,0,13,10,1,1,12,8,3,1,12,8,4,0,12,7,4,1,12
207388,00317000,Oklahoma State University-Main Campus,Stillwater,2011,18836.0,1,1,4,6,32,13,0.3058,7816.0,0.8486,1040.0,8100.0,8100.0,4540.0,4540.0,1,0.49,0.51,0.8169,1121.0,25.0,0.7995,0.6184,7107.0,18455.0,0.7327,0.0468,0.0407,0.0143,2,0.03545709416744547,0.0018401144960131788,-0.0017615971814445297,0.0034393809114359186,-0.015803336259877065,0.0,0.026711185308848195,0.046008119079837595,0.04838471750995721,0.048519970456224026,-0.008390851265394517,0.07093821510297471,0.020050125313283207,0.09160305343511443,9,4,0,13,9,4,0,13,7,6,0,13,7,6,0,13,4,7,0,11,7,5,0,12,9,4,0,13,8,5,0,13,4,7,0,11,3,8,0,11,5,6,0,11,5,6,0,11,8,4,0,12,5,6,0,11,4,8,0,12,3,7,1,11,3,8,0,11,4,6,1,11,0,10,1,11,4,7,0,11
207500,00318400,University of Oklahoma-Norman Campus,Norman,2011,20116.0,1,2,4,6,22,13,0.2477,8675.0,0.8443,1043.0,8060.0,8060.0,5065.0,5065.0,1,0.5011,0.4989,0.8185,1183.0,26.0,0.8486,0.6789,8325.0,19278.0,0.6461,0.0523,0.0583,0.0552,2,0.037923739745111096,-0.0021903624054161464,0.0022097227802329034,-0.03739856521227791,0.0008460236886633776,0.0,0.020810778299049648,0.05321129382562839,0.05862156663275697,0.05373052746652096,0.0017054263565892125,-0.035055350553505504,0.3042505592841165,-0.02987697715289983,8,5,0,13,12,2,0,14,11,3,0,14,11,3,0,14,8,4,0,12,12,1,0,13,12,2,0,14,12,2,0,14,11,2,0,13,13,0,0,13,7,5,0,12,5,6,0,11,4,8,0,12,3,8,0,11,5,5,1,11,6,6,0,12,9,3,0,12,5,4,2,11,9,3,0,12,8,3,0,11
207971,00318500,University of Tulsa,Tulsa,2011,2948.0,1,1,4,6,11,13,0.1781,8612.0,0.7646,1200.0,9514.0,8200.0,4524.0,4524.0,1,0.4501,0.5499,0.4095,1247.0,28.0,0.8552,0.6784,31551.0,31551.0,0.6096,0.0583,0.0431,0.0312,2,-0.03597122302158273,-0.006840247131509214,0.005669348939283392,0.047046791102019814,-0.03482972136222906,-0.03448275862068961,0.00920462591456217,0.04853168469860902,0.09799895597703157,0.09799895597703157,-0.015185783521809326,0.07366482504604055,-0.009195402298850519,-0.025000000000000022,5,7,0,12,11,3,0,14,10,4,0,14,8,5,0,13,9,4,0,13,4,8,0,12,8,5,0,13,1,11,0,12,1,10,0,11,5,7,0,12,2,9,0,11,4,7,0,11,2,9,0,11,4,7,0,11,4,7,0,11,3,8,0,11,4,6,1,11,4,7,0,11,10,2,0,12,3,8,0,11
209542,00321000,Oregon State University,Corvallis,2011,20031.0,1,2,4,8,13,13,0.3322,7570.0,0.7174,1854.0,9444.0,9444.0,2577.0,2577.0,1,0.471,0.529,0.8111,1090.0,24.0,0.8144,0.6102,7600.0,21316.0,0.7035,0.0118,0.0633,0.0739,2,0.05531847637110787,0.0010626992561104665,-0.0009442870632671019,-0.016490845155814116,0.008325624421831712,0.04347826086956519,-0.020329604234331833,0.013284623048821054,0.0681658468025299,0.04311230731587967,-0.004668930390492321,-0.0992366412213741,0.10664335664335645,-0.013351134846461998,8,5,0,13,9,4,0,13,9,4,0,13,10,4,0,14,5,6,0,11,7,5,0,12,8,5,0,13,8,5,0,13,5,6,0,11,11,1,0,12,7,5,0,12,5,6,0,11,3,8,0,11,2,9,0,11,1,10,0,11,4,7,0,11,4,7,0,11,1,9,1,11,1,10,0,11,1,10,0,11
209551,00322300,University of Oregon,Eugene,2011,20248.0,1,1,4,8,12,13,0.2549,8405.0,0.6903,1050.0,9801.0,9801.0,2412.0,2412.0,1,0.5151,0.4849,0.7879,1108.0,25.0,0.8633,0.6584,8789.0,27653.0,0.7036,0.0191,0.0618,0.0526,2,0.05354076694937304,0.020000000000000018,-0.020404040404040424,-0.010921416018076724,-0.0009017132551848439,0.04166666666666674,0.005474027486606081,-0.029624170965364738,0.0731379731379731,0.07057684862562907,-0.02494456762749453,0.0052631578947368585,0.284823284823285,-0.03130755064456725,10,3,0,13,10,3,0,13,9,4,0,13,7,6,0,13,10,2,0,12,5,6,0,11,8,5,0,13,7,6,0,13,11,1,0,12,10,2,0,12,9,3,0,12,8,4,0,12,7,5,0,12,6,5,0,11,9,3,0,12,9,4,0,13,5,6,0,11,6,6,0,12,3,8,0,11,8,4,0,12
211291,00323800,Bucknell University,Lewisburg,2011,3535.0,1,1,4,2,32,13,0.1169,8923.0,1.0,900.0,10374.0,12436.0,2000.0,2113.0,1,0.5146,0.4854,0.2756,1307.0,29.0,0.9376,0.9098,43866.0,43866.0,0.7935,0.0289,0.0427,0.0325,2,0.013184293493837762,0.003118908382066188,-0.003285420944558526,-0.12201338005734308,0.005384615384615321,0.0,-0.007410544145670106,-0.013980708789422258,0.03599263142978604,0.03599263142978604,-0.019644180874722084,-0.05863192182410437,0.13866666666666672,0.07973421926910307,4,7,0,11,5,6,0,11,3,8,0,11,6,5,0,11,1,10,0,11,7,4,0,11,6,6,0,12,2,9,0,11,6,4,0,10,6,5,0,11,7,4,0,11,6,5,0,11,10,1,0,11,6,5,0,11,7,4,0,11,5,6,0,11,4,7,0,11,4,7,0,11,1,9,0,10,7,4,0,11
212106,00325800,Duquesne University,Pittsburgh,2011,5639.0,1,1,4,2,11,13,0.2181,8352.0,1.0,1000.0,9806.0,9806.0,1550.0,1550.0,1,0.5677,0.4323,0.7013,1131.0,25.0,0.8686,0.7592,28671.0,28671.0,0.8328,0.0466,0.0255,0.0223,2,-0.011568799298860677,0.007990056818181657,-0.010302197802197766,-0.0860158999087709,0.01253357206803929,0.04166666666666674,0.042862288389962755,-0.01708959088555151,0.04250599956366807,0.04250599956366807,-0.00667938931297718,0.0938967136150235,0.1751152073732718,0.11499999999999999,3,8,0,11,3,7,0,10,6,4,0,10,7,3,0,10,7,3,0,10,7,3,0,10,8,3,0,11,11,1,0,12,8,3,0,11,10,1,0,11,8,3,0,11,8,3,0,11,7,3,0,10,10,1,0,11,10,1,0,11,6,4,0,10,4,6,0,10,5,4,0,9,0,9,0,9,1,8,1,10
215293,00337900,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,2011,18092.0,1,5,4,2,11,13,0.1907,9024.0,0.7041,1110.0,9430.0,9430.0,3060.0,3060.0,1,0.5023,0.4977,0.5777,1262.0,28.0,0.9041,0.7872,16132.0,25540.0,0.78,0.0652,0.0209,0.0594,2,0.005725721274111972,-0.005149534561299407,0.005251464350636281,-0.012984794122672172,0.004777070063694211,0.0,-0.0190951502658131,0.004594180704441175,0.08007498660953405,0.03854912166558222,-0.010654490106544845,-0.09065550906555098,0.1741573033707864,0.08791208791208782,10,3,0,13,9,4,0,13,5,7,0,12,6,6,0,12,5,6,0,11,8,4,0,12,8,5,0,13,9,4,0,13,7,5,0,12,7,5,0,12,5,6,0,11,2,9,0,11,6,6,0,12,4,7,0,11,2,9,0,11,3,8,0,11,3,8,0,11,3,9,0,12,6,5,0,11,3,7,1,11
216339,00337100,Temple University,Philadelphia,2011,27172.0,1,1,4,2,11,13,0.3508,9957.0,0.4995,1000.0,10972.0,10972.0,4438.0,4438.0,1,0.5159,0.4841,0.6284,1107.0,24.0,0.8722,0.6759,13596.0,23422.0,0.6036,0.1406,0.0441,0.1008,2,0.003582640812557658,-0.015270089711777124,0.01680319260659524,-0.027846534653465427,0.0036264732547597323,0.04347826086956519,-0.018897637795275646,0.022541603630862106,0.09433354797166782,0.052579543411828134,0.015990573977445077,-0.05827193569993294,0.09975062344139651,-0.020408163265306145,9,4,0,13,5,7,0,12,4,8,0,12,1,11,0,12,0,11,0,11,2,9,0,11,1,11,0,12,4,8,0,12,4,7,0,11,4,7,0,11,2,9,0,11,2,9,0,11,3,8,0,11,1,10,0,11,1,10,0,11,2,9,0,11,1,10,0,11,1,10,0,11,2,9,0,11,7,4,0,11
216597,00338800,Villanova University,Villanova,2011,6898.0,1,1,4,2,21,13,0.1145,9254.0,0.6074,950.0,10960.0,10960.0,1500.0,1500.0,1,0.5086,0.4914,0.4397,1306.0,30.0,0.9418,0.9046,41110.0,41110.0,0.7585,0.0451,0.0713,0.0606,2,0.0052462838822500135,0.0023649980291684525,-0.0024360535931789995,-0.026350752878653738,0.0,0.0,-0.008005055824731433,0.00959821428571428,0.02955171550212876,0.02955171550212876,-0.01121105462130112,-0.0022123893805309214,0.025899280575539585,-0.030399999999999983,14,1,0,15,10,3,0,13,7,4,0,11,6,5,0,11,4,7,0,11,6,5,0,11,7,4,0,11,11,4,0,15,8,3,0,11,5,6,0,11,7,4,0,11,6,5,0,11,11,0,0,11,8,4,0,12,3,8,0,11,5,6,0,11,3,8,0,11,9,3,0,12,10,2,0,12,6,5,0,11
217882,00342500,Clemson University,Clemson,2011,15697.0,1,1,4,5,22,13,0.1844,8446.0,0.9029,1090.0,7228.0,9144.0,6004.0,3938.0,1,0.4588,0.5412,0.5766,1243.0,28.0,0.9033,0.8044,12304.0,28462.0,0.8447,0.065,0.0229,0.0184,2,0.02067754730476623,0.00547885163269779,-0.00459812396542203,-0.08170090778786432,0.014693877551020362,0.0,0.0161997975025312,0.05536604565730774,0.033254954652334634,0.03966978375219177,0.0038027332144978665,-0.0030674846625765584,0.15656565656565657,0.045454545454545414,9,5,0,14,7,6,0,13,9,4,0,13,8,5,0,13,8,4,0,12,6,5,0,11,9,4,0,13,7,6,0,13,7,5,0,12,9,3,0,12,6,6,0,12,3,8,0,11,7,5,0,12,7,5,0,12,8,4,0,12,5,6,0,11,9,3,0,12,5,6,0,11,9,2,1,12,10,2,0,12
218070,00343400,Furman University,Greenville,2011,2799.0,1,1,4,5,13,13,0.1539,8415.0,0.9015,1150.0,10624.0,10624.0,1762.0,1762.0,2,0.5741,0.4259,0.6953,1274.0,29.0,0.8878,0.8692,39560.0,39560.0,0.8146,0.0522,0.0275,0.0193,2,,,,,,,,,,,,,,,6,5,0,11,7,5,0,12,6,5,0,11,8,4,0,12,9,2,0,11,10,3,0,13,6,5,0,11,8,4,0,12,12,3,0,15,9,3,0,12,9,3,0,12,5,6,0,11,7,4,0,11,9,4,0,13,6,5,0,11,3,8,0,11,5,5,1,11,6,5,0,11,7,4,0,11,9,4,0,13
218663,00344800,University of South Carolina-Columbia,Columbia,2011,22222.0,1,1,4,5,12,13,0.245,8789.0,1.0,950.0,8026.0,10112.0,3920.0,4085.0,1,0.5382,0.4618,0.6986,1194.0,27.0,0.8671,0.7019,10168.0,26352.0,0.779,0.1097,0.0359,0.0253,2,0.05653021442495132,0.006545726575650113,-0.007522028798624514,0.0975648075412412,-0.0016722408026755842,0.0,0.007201765594145648,0.03877460411425182,0.03903535663192326,0.039034776437189445,-0.004218330563722339,0.02141527001862209,0.09118541033434657,0.003968253968253954,7,6,0,13,7,6,0,13,6,6,0,12,8,5,0,13,7,5,0,12,6,5,0,11,5,7,0,12,5,7,0,12,9,3,0,12,8,4,0,12,0,11,0,11,1,10,0,11,5,6,0,11,6,5,0,11,4,6,1,11,7,5,0,12,5,6,0,11,5,6,0,11,3,6,2,11,6,5,0,11
218724,00345100,Coastal Carolina University,Conway,2011,8297.0,1,1,4,5,13,13,0.3729,6507.0,0.6455,1082.0,7700.0,7964.0,3604.0,4076.0,1,0.5318,0.4682,0.7439,977.0,20.0,0.6283,0.4628,9760.0,21560.0,0.7253,0.1951,0.0322,0.0064,2,0.040506646601454754,0.0011295180722892262,-0.0012798634812286602,0.005949966193373957,-0.030753968253968256,-0.04761904761904767,-0.025891472868217136,0.07552870090634434,0.03940362087326954,0.06364084854464735,-0.028008576789064654,0.0869080779944289,0.022222222222222143,-0.08571428571428574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220862,00350900,University of Memphis,Memphis,2011,17291.0,1,1,4,5,11,13,0.491,7577.0,0.5866,1350.0,8330.0,8325.0,4746.0,4746.0,1,0.6185,0.3815,0.6632,1030.0,22.0,0.775,0.3822,7390.0,22102.0,0.4792,0.4221,0.0257,0.0248,2,0.031559479775683075,0.007493077048379204,-0.011914011914011868,-0.003306281935677724,0.04040404040404044,0.04761904761904767,-0.004367934224049241,0.06610878661087871,0.08997050147492636,0.09698233075243201,-0.031527890056588515,0.029010238907849706,0.13215859030836996,-0.03875968992248069,2,10,0,12,6,7,0,13,7,6,0,13,2,10,0,12,7,5,0,12,8,4,0,12,9,4,0,13,3,9,0,12,5,6,0,11,4,7,0,11,5,6,0,11,2,9,0,11,4,7,0,11,4,7,0,11,3,8,0,11,6,5,0,11,6,5,0,11,6,5,0,11,5,6,0,11,4,6,1,11
220978,00351000,Middle Tennessee State University,Murfreesboro,2011,23173.0,1,1,4,5,12,13,0.4137,6864.0,0.6966,1325.0,7413.0,7413.0,3218.0,3218.0,1,0.5263,0.4737,0.7028,1005.0,22.0,0.6981,0.4485,6754.0,20458.0,0.7101,0.1809,0.0337,0.0256,2,-0.0018951630270922504,0.008044435931813698,-0.008788449466415549,-0.013614035087719412,-0.026162790697674465,0.0,-0.042255453422965994,-0.016663012497259322,0.07240393775801834,0.08668862211834694,-0.02672697368421062,0.08129109384339506,0.13468013468013473,0.06224066390041494,10,3,0,13,5,7,0,12,5,7,0,12,7,6,0,13,4,7,0,11,5,6,0,11,4,8,0,12,4,8,0,12,8,3,0,11,6,5,0,11,3,8,0,11,5,5,0,10,4,6,0,10,6,5,0,11,7,4,0,11,8,3,1,12,5,6,0,11,10,3,0,13,9,4,0,13,11,2,0,13
225247,00357100,Hardin-Simmons University,Abilene,2011,1813.0,1,1,4,6,12,13,0.3541,6329.0,0.6919,800.0,6804.0,6792.0,2574.0,2838.0,1,0.54,0.46,0.5658,1055.0,23.0,0.6517,0.4654,22460.0,22460.0,0.7253,0.0618,0.1324,0.0094,2,-0.034611288604898816,-0.015496809480400997,0.01882613510520481,0.6286701208981,0.011505273250239645,0.0,-0.034232365145228205,-0.03823103947096507,0.07003334921391136,0.07003334921391136,0.034222158847853956,0.2093933463796478,0.2755298651252407,0.03296703296703285,6,4,0,10,9,2,0,11,6,4,0,10,8,2,0,10,8,2,0,10,10,1,0,11,8,2,0,10,8,2,0,10,7,1,0,8,12,1,0,13,9,0,0,9,9,1,0,10,7,3,0,10,8,2,0,10,8,1,0,9,8,3,0,11,10,3,0,13,10,2,0,12,5,5,0,10,3,6,0,9
225511,00365200,University of Houston,Houston,2011,30383.0,1,1,4,6,11,13,0.3785,9590.0,0.8772,1200.0,8318.0,9800.0,3874.0,5122.0,1,0.4965,0.5035,0.6322,1105.0,24.0,0.8106,0.4607,7513.0,15025.0,0.3044,0.1319,0.2731,0.211,2,0.03572524288392698,-0.004012036108325012,0.003988035892322994,-0.10351673284174712,0.024096385542168752,0.04347826086956519,-0.0063741113017896645,0.008537653239929943,0.023290656496867346,0.016438912190501975,-0.024983984625240097,-0.049026676279740444,0.04716257668711665,-0.013557737260402103,10,4,0,14,8,5,0,13,8,5,0,13,10,4,0,14,6,6,0,12,3,8,0,11,7,6,0,13,5,7,0,12,0,11,0,11,3,8,0,11,7,4,0,11,3,8,0,11,3,8,0,11,7,5,0,12,2,9,0,11,1,10,0,11,1,9,1,11,4,7,0,11,4,7,0,11,10,1,0,11
227757,00360400,Rice University,Houston,2011,3708.0,1,1,4,6,11,13,0.1661,12038.0,0.8752,800.0,12270.0,12270.0,1550.0,1550.0,1,0.4819,0.5181,0.1882,1428.0,32.0,0.9671,0.9155,35551.0,35551.0,0.4223,0.069,0.1351,0.2047,2,0.06398852223816354,0.013459516298633067,-0.012202097235462284,-0.11601690934711129,-0.004878048780487809,0.0,0.017357458447296414,-0.00043672890053503277,0.05270794468626927,0.05270794468626927,-0.026060885608856,-0.014285714285714346,0.17991266375545845,-0.035798398492698946,2,10,0,12,10,3,0,13,3,9,0,12,7,6,0,13,1,10,0,11,3,8,0,11,5,7,0,12,4,7,0,11,8,4,0,12,3,8,0,11,5,6,0,11,5,6,0,11,7,4,0,11,7,4,0,11,2,8,1,11,5,6,0,11,6,5,0,11,6,5,0,11,4,7,0,11,5,6,0,11
228459,00361500,Texas State University,San Marcos,2011,28959.0,1,1,4,6,13,13,0.357,6911.0,0.7058,1060.0,7310.0,7520.0,3650.0,3440.0,1,0.553,0.447,0.775,1055.0,23.0,0.7863,0.5552,7264.0,15402.0,0.5904,0.0616,0.2771,0.0183,2,0.055126430080886024,0.0016301394674878011,-0.002009377093101117,0.02608235138355619,-0.007525870178739402,0.0,-0.0003813882532417434,0.0019852012272152386,0.12480644162279342,0.10821700964167502,-0.05278357131397393,0.06206896551724128,0.05763358778625949,-0.10294117647058831,7,4,0,11,8,5,0,13,4,7,0,11,5,6,0,11,11,3,0,14,5,6,0,11,5,7,0,12,4,7,0,11,4,7,0,11,7,4,0,11,3,8,0,11,4,7,0,11,5,6,0,11,5,6,0,11,4,7,0,11,4,7,0,11,2,9,0,11,5,5,1,11,7,4,1,12,6,5,0,11
228723,00363200,Texas A & M University-College Station,College Station,2011,39740.0,1,2,4,6,12,13,0.2154,9842.0,0.9591,1340.0,8200.0,8200.0,2762.0,2762.0,1,0.4753,0.5247,0.6344,1215.0,27.0,0.9166,0.8069,8421.0,23811.0,0.7102,0.0292,0.1694,0.0473,2,0.017695715639324927,0.00021043771043771642,-0.0001905487804877426,-0.0757575757575758,-0.0024630541871921707,0.0,0.006147091108671621,0.010140210315473297,0.004053892929533731,0.04356400929131787,-0.020818971460085378,0.0034364261168384758,0.06473915776241368,0.04646017699115057,6,7,0,13,4,8,0,12,7,6,0,13,9,4,0,13,5,6,0,11,7,5,0,12,4,8,0,12,6,6,0,12,8,4,0,12,7,5,0,12,8,4,0,12,11,3,0,14,9,4,0,13,6,6,0,12,9,3,0,12,10,0,1,11,10,2,0,12,12,1,0,13,10,2,0,12,9,3,1,13
228778,00365800,The University of Texas at Austin,Austin,2011,37725.0,1,1,4,6,11,13,0.2664,10763.0,0.8306,874.0,10422.0,10422.0,3624.0,3624.0,1,0.5133,0.4867,0.4656,1256.0,28.0,0.9179,0.8089,9794.0,32506.0,0.5016,0.046,0.2011,0.1787,2,0.0009551858632492749,0.0005847953216373547,-0.0006160164271046265,-0.00957243139757502,0.01045856798069189,0.0,-0.00010893246187360095,0.007849489160229206,0.040144435004248136,0.0396596942365508,-0.025072886297375918,-0.025423728813559365,0.029697900665642596,-0.0050111358574610465,13,1,0,14,12,1,0,13,10,3,0,13,10,3,0,13,13,0,0,13,11,1,0,12,10,3,0,13,11,2,0,13,11,2,0,13,9,3,0,12,9,5,0,14,9,3,0,12,4,7,0,11,8,5,0,13,10,2,1,13,8,4,0,12,5,5,1,11,6,5,0,11,5,6,0,11,10,2,0,12
228796,00366100,The University of Texas at El Paso,El Paso,2011,18885.0,1,1,4,6,11,13,0.6074,7396.0,0.7019,1132.0,8692.0,8692.0,3694.0,3694.0,1,0.5376,0.4624,0.992,921.0,19.0,0.7484,0.3695,7065.0,16525.0,0.0791,0.0272,0.8106,0.0092,2,0.04620242645836803,-0.017364284408700525,0.020975932877014714,0.0035407182599898057,0.02219755826859049,0.05555555555555558,0.022544063396638725,0.042313117066290484,0.049621155846085285,0.026333768088938614,-0.06168446026097263,-0.02508960573476715,0.012490632025980553,-0.1711711711711712,4,8,0,12,5,7,0,12,4,8,0,12,5,7,0,12,8,4,0,12,8,4,0,12,2,11,0,13,2,10,0,12,2,9,0,11,8,4,0,12,5,7,0,12,3,8,0,11,4,7,0,11,2,9,0,11,2,10,0,12,3,7,1,11,1,11,0,12,1,10,0,11,4,7,1,12,3,8,0,11
229027,01011500,The University of Texas at San Antonio,San Antonio,2011,25810.0,1,1,4,6,11,13,0.438,7315.0,0.726,1000.0,9271.0,8487.0,2660.0,4460.0,1,0.4763,0.5237,0.8325,1024.0,22.0,0.6224,0.2716,7042.0,14554.0,0.3072,0.0926,0.4649,0.0525,2,0.012474501804487614,-0.01814058956916098,0.017090697222761797,-0.04233291153801899,-0.0009756097560975618,0.0,0.08868287563407384,0.019519519519519468,0.04822863947603451,0.027970052267269452,-0.04625892579944124,0.06682027649769595,0.01773204903677761,0.021400778210116655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
