UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,UGDS_delta,UGDS_WOMEN_delta,UGDS_MEN_delta,ADM_RATE_delta,SAT_AVG_delta,ACTCMMID_delta,RET_FT4_delta,C150_4_delta,TUITIONFEE_IN_delta,TUITIONFEE_OUT_delta,UGDS_WHITE_delta,UGDS_BLACK_delta,UGDS_HISP_delta,UGDS_ASIAN_delta,won_One_year_ago,lost_One_year_ago,tied_One_year_ago,games_One_year_ago,won_Two_years_ago,lost_Two_years_ago,tied_Two_years_ago,games_Two_years_ago,won_Three_years_ago,lost_Three_years_ago,tied_Three_years_ago,games_Three_years_ago,won_Four_years_ago,lost_Four_years_ago,tied_Four_years_ago,games_Four_years_ago,won_Five_years_ago,lost_Five_years_ago,tied_Five_years_ago,games_Five_years_ago,won_Six_years_ago,lost_Six_years_ago,tied_Six_years_ago,games_Six_years_ago,won_Seven_years_ago,lost_Seven_years_ago,tied_Seven_years_ago,games_Seven_years_ago,won_Eight_years_ago,lost_Eight_years_ago,tied_Eight_years_ago,games_Eight_years_ago,won_Nine_years_ago,lost_Nine_years_ago,tied_Nine_years_ago,games_Nine_years_ago,won_Ten_years_ago,lost_Ten_years_ago,tied_Ten_years_ago,games_Ten_years_ago,won_Eleven_year_ago,lost_Eleven_year_ago,tied_Eleven_year_ago,games_Eleven_year_ago,won_Twelve_years_ago,lost_Twelve_years_ago,tied_Twelve_years_ago,games_Twelve_years_ago,won_Thirteen_years_ago,lost_Thirteen_years_ago,tied_Thirteen_years_ago,games_Thirteen_years_ago,won_Fourteen_years_ago,lost_Fourteen_years_ago,tied_Fourteen_years_ago,games_Fourteen_years_ago,won_Fifteen_years_ago,lost_Fifteen_years_ago,tied_Fifteen_years_ago,games_Fifteen_years_ago,won_Sixteen_years_ago,lost_Sixteen_years_ago,tied_Sixteen_years_ago,games_Sixteen_years_ago,won_Seventeen_years_ago,lost_Seventeen_years_ago,tied_Seventeen_years_ago,games_Seventeen_years_ago,won_Eighteen_years_ago,lost_Eighteen_years_ago,tied_Eighteen_years_ago,games_Eighteen_years_ago,won_Nineteen_years_ago,lost_Nineteen_years_ago,tied_Nineteen_years_ago,games_Nineteen_years_ago,won_Twenty_years_ago,lost_Twenty_years_ago,tied_Twenty_years_ago,games_Twenty_years_ago
159391,00201000,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,1996,19776.0,1,1,4,5,12,13,0.2028,5903.0,0.8963,1160.0,8440.0,13805.0,2880.0,3418.0,1,0.5049,0.4951,,1163.5,26.0,0.8364,0.60745,6354.0,19362.0,0.7268,0.1192,0.06095,0.0421,2,,,,,,,,,,,,,,,4,7,0,11,5,6,0,11,2,9,0,11,5,6,0,11,5,6,0,11,4,7,0,11,8,4,0,12,10,1,1,12,9,3,0,12,9,2,1,12,8,3,1,12,4,7,0,11,8,3,1,12,3,7,1,11,7,4,0,11,7,5,0,12,8,4,0,12,8,4,0,12,7,3,1,11,5,6,0,11
174066,00396900,University of Minnesota-Twin Cities,Minneapolis,1996,37087.0,1,1,4,4,11,13,0.189,7011.0,0.823,1000.0,7705.0,7705.0,2194.0,2194.0,1,0.5303,0.4697,,1251.5,28.0,0.9044,0.6919,13022.0,20252.0,0.6939500000000001,0.04535,0.0359,0.09140000000000001,2,,,,,,,,,,,,,,,3,8,0,11,4,7,0,11,2,9,0,11,2,9,0,11,6,5,0,11,6,5,0,11,2,7,2,11,6,5,0,11,6,6,0,12,7,5,0,12,4,7,0,11,1,10,0,11,3,8,0,11,6,5,0,11,5,6,0,11,4,6,1,11,5,6,0,11,7,5,0,12,6,5,0,11,6,5,0,11
176372,00244100,University of Southern Mississippi,Hattiesburg,1996,11403.0,1,1,4,5,13,13,0.471,5323.0,0.802,1200.0,6907.0,8800.0,3527.0,3702.0,1,0.58,0.42,,1030.5,22.0,0.73,0.47265,5834.0,11204.0,0.6078,0.2908,0.0323,0.0122,2,,,,,,,,,,,,,,,6,5,0,11,3,7,1,11,7,4,0,11,4,7,0,11,8,4,0,12,5,6,0,11,10,2,0,12,6,5,0,11,6,5,0,11,7,4,0,11,4,7,0,11,8,3,0,11,7,4,0,11,9,2,1,12,9,3,0,12,6,4,1,11,7,4,0,11,6,6,0,12,3,8,0,11,7,4,0,11
178396,00251600,University of Missouri-Columbia,Columbia,1996,16778.0,1,1,4,4,12,13,0.2072,6482.0,0.7053,1010.0,8625.0,9808.0,3133.0,3742.0,1,0.5271,0.4729,,1168.5,26.0,0.8525,0.6854,8989.0,21784.0,0.79015,0.07575,0.036699999999999997,0.02385,2,,,,,,,,,,,,,,,3,8,1,12,3,7,1,11,3,8,0,11,3,7,1,11,4,7,0,11,2,9,0,11,3,7,1,11,5,6,0,11,3,8,0,11,1,10,0,11,3,7,1,11,7,5,0,12,5,4,2,11,8,4,0,12,8,4,0,12,7,5,0,12,8,4,0,12,4,7,0,11,7,4,0,11,6,5,0,11
182281,00256900,University of Nevada-Las Vegas,Las Vegas,1996,13831.0,1,1,4,8,12,13,0.3576,5880.0,0.9863,1100.0,10192.0,9273.0,2823.0,5562.0,2,0.5302,0.4698,,1012.0,22.0,0.7631,0.40535,6428.0,20023.0,0.34245,0.07880000000000001,0.2701,0.1592,2,,,,,,,,,,,,,,,7,5,0,12,3,8,0,11,6,5,0,11,4,7,0,11,4,7,0,11,4,7,0,11,4,7,0,11,5,6,0,11,6,5,0,11,5,5,1,11,0,13,0,13,7,4,0,11,3,8,0,11,6,6,0,12,7,4,0,11,9,1,2,12,7,4,0,11,9,2,0,11,8,3,0,11,7,4,0,11
182290,00256800,University of Nevada-Reno,Reno,1996,8353.0,1,1,4,8,11,13,0.2624,6493.0,0.9508,1300.0,10130.5,10254.0,4494.0,5415.0,1,0.5214,0.4786,,1063.0,23.0,0.7964,0.50345,5630.0,19226.0,0.5973999999999999,0.03385,0.19519999999999998,0.07245,2,,,,,,,,,,,,,,,9,2,0,11,7,4,0,11,7,5,0,12,12,1,0,13,13,2,0,15,7,4,0,11,7,4,0,11,5,6,0,11,13,1,0,14,11,2,0,13,7,4,0,11,9,5,0,14,6,5,0,11,7,4,0,11,6,4,1,11,8,4,0,12,11,1,0,12,8,3,0,11,8,3,0,11,3,8,0,11
196413,00288200,Syracuse University,Syracuse,1996,11305.0,1,1,4,2,12,13,0.2137,6288.0,0.6585,1315.0,13052.0,14460.0,1570.0,1596.0,1,0.5312,0.4688,,1210.0,27.0,0.91,0.8122,37668.0,37668.0,0.5608,0.0782,0.0997,0.0775,2,,,,,,,,,,,,,,,7,4,0,11,6,4,1,11,10,2,0,12,10,2,0,12,7,4,2,13,8,4,0,12,10,2,0,12,11,0,1,12,5,6,0,11,7,5,0,12,6,5,0,11,6,5,0,11,2,9,0,11,4,6,1,11,5,6,0,11,7,5,0,12,3,8,0,11,6,5,0,11,3,8,0,11,6,5,0,11
197869,00290600,Appalachian State University,Boone,1996,10823.0,1,1,4,5,32,13,0.2714,5324.0,0.7725,700.0,6705.0,7960.0,2790.0,3216.0,1,0.5208,0.4792,,1144.0,24.5,0.8701,0.6484,5538.0,17586.0,0.8435999999999999,0.03225,0.04605,0.0161,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198464,00292300,East Carolina University,Greenville,1996,14361.0,1,1,4,5,13,13,0.3282,5188.0,0.8239,1100.0,8110.0,8040.0,3202.0,3202.0,1,0.5779,0.4221,,1035.5,22.0,0.8082,0.5635,5364.0,17943.0,0.6816,0.15805000000000002,0.064,0.0258,2,,,,,,,,,,,,,,,7,5,0,12,2,9,0,11,5,6,0,11,11,1,0,12,5,6,0,11,5,5,1,11,3,8,0,11,5,6,0,11,3,8,0,11,2,9,0,11,2,9,0,11,8,3,0,11,7,4,0,11,5,6,0,11,4,7,0,11,7,3,1,11,9,3,0,12,8,3,0,11,9,2,0,11,8,3,0,11
199120,00297400,University of North Carolina at Chapel Hill,Chapel Hill,1996,14858.0,1,1,4,5,13,13,0.2128,7520.0,0.8544,1000.0,9388.0,9388.0,2701.0,2701.0,1,0.6026,0.3974,,1304.5,30.0,0.9644,0.8689,7009.0,26834.0,0.6332,0.08365,0.08305000000000001,0.10165,2,,,,,,,,,,,,,,,8,4,0,12,10,3,0,13,9,3,0,12,7,4,0,11,6,4,1,11,1,10,0,11,1,10,0,11,5,6,0,11,7,4,1,12,5,6,0,11,5,5,1,11,8,4,0,12,8,4,0,12,10,2,0,12,11,1,0,12,8,3,1,12,5,6,0,11,8,3,1,12,9,3,0,12,3,7,1,11
